source_file,field,value,reason
image.pdf,candidate_27_votes,11,user_verified_partial_page_11_not_1_or_17
ตำบลอ_างทอง_หน_วยท_6_0001.pdf,candidate_7_votes,3,manual_image_verified_angthong_unit6_bhumjaithai_3_not_total_204
ตำบลอ_างทอง_หน_วยท_6_0001.pdf,total_votes_sum,204,manual_image_verified_angthong_unit6_total_votes_sum_204
