polling_unit_id,source_file,draft_province,draft_district,draft_subdistrict_or_municipality,draft_municipality,draft_moo,draft_unit_number,official_province,official_district,official_subdistrict,official_municipality,official_moo,lat,lon,tambon_code,amphoe_code,province_code,location_verified,tambon_verified,tambon_lat,tambon_lon,verification_source,verification_note,needs_location_review,location_review_reason,location_confidence,path_header_unit_match,path_header_locality_match,province_expected_match,district_expected_match,missing_moo,header_unit_number,header_moo,header_locality,header_district,header_constituency_number,header_province,has_markdown,path_local_government,path_local_government_type,path_local_government_name,path_unit_number,path_folder,pdf_path
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_13,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_13.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,13.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,13.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_14,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_14.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,14.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,14.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_15,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_15.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,15.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,15.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_16,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_16.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,16.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,16.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_17,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_17.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,17.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,17.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_18,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_18.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,18.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,18.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_19,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_19.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,19.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,19.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_2,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_2.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,2.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,2.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_20,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_20.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,20.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,20.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_21,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_21.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,21.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,21.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_22,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_22.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,22.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,22.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_23,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_23.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,23.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,23.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_24,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_24.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,24.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,24.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_25,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_25.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,25.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,25.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_26,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_26.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,26.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,26.0,,
ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_27,ทม_กำแพงเพชร_20260507T101000Z_3_001_ทม_กำแพงเพชร_หน_วยเล_อกต_งท_27.pdf,,,กำแพงเพชร,ทม.กำแพงเพชร,,27.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,,,,,,,,False,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทม.กำแพงเพชร,ทม,กำแพงเพชร,27.0,,
